time,open,high,low,close,volume
2025-06-23 00:00:00+00:00,100963.87,106074.2,99613.33,105333.93,27666.50609
2025-06-24 00:00:00+00:00,105333.94,106290.0,104622.02,106083.0,14651.69335
2025-06-25 00:00:00+00:00,106083.0,108135.3,105808.03,107340.58,16701.15551
2025-06-26 00:00:00+00:00,107340.59,108272.45,106562.5,106947.06,10573.27279
2025-06-27 00:00:00+00:00,106947.06,107735.34,106356.76,107047.59,12232.44042
2025-06-28 00:00:00+00:00,107047.58,107577.75,106811.51,107296.79,3282.17352
2025-06-29 00:00:00+00:00,107296.79,108528.5,107172.52,108356.93,6831.7364
2025-06-30 00:00:00+00:00,108356.93,108789.99,106733.33,107146.5,9754.12491
2025-07-01 00:00:00+00:00,107146.51,107540.0,105250.85,105681.14,10505.62437
2025-07-02 00:00:00+00:00,105681.13,109730.0,105100.19,108849.6,17691.89592
2025-07-03 00:00:00+00:00,108849.59,110529.18,108530.4,109584.78,13047.08225
2025-07-04 00:00:00+00:00,109584.77,109767.59,107245.0,107984.24,11793.86615
2025-07-05 00:00:00+00:00,107984.25,108420.56,107756.31,108198.12,3736.9757
2025-07-06 00:00:00+00:00,108198.12,109700.0,107800.01,109203.84,6447.607
2025-07-07 00:00:00+00:00,109203.85,109700.0,107513.2,108262.94,9405.37601
2025-07-08 00:00:00+00:00,108262.94,109216.56,107429.57,108922.98,9216.0208
2025-07-09 00:00:00+00:00,108922.99,111999.79,108324.53,111233.99,17282.2865
2025-07-10 00:00:00+00:00,111234.0,116868.0,110500.0,116010.0,24883.450665
2025-07-11 00:00:00+00:00,116010.01,118869.98,115222.22,117527.66,25873.521148
2025-07-12 00:00:00+00:00,117527.66,118200.0,116900.05,117420.0,8446.60437
2025-07-13 00:00:00+00:00,117420.0,119488.0,117224.79,119086.64,9550.792947
2025-07-14 00:00:00+00:00,119086.65,123218.0,118905.18,119841.18,27269.348877
2025-07-15 00:00:00+00:00,119841.17,119940.83,115736.92,117758.09,32018.46083
2025-07-16 00:00:00+00:00,117758.08,120063.84,117017.29,118630.43,17039.90851
2025-07-17 00:00:00+00:00,118630.44,120998.71,117453.57,119177.56,15728.57651
2025-07-18 00:00:00+00:00,119177.56,120820.71,116812.76,117924.84,19924.66266
2025-07-19 00:00:00+00:00,117924.84,118499.9,117277.34,117840.0,6635.80306
2025-07-20 00:00:00+00:00,117840.01,118856.8,116467.02,117265.12,12962.92889
2025-07-21 00:00:00+00:00,117265.11,119676.73,116515.0,117380.36,17107.33128
2025-07-22 00:00:00+00:00,117380.36,120247.8,116128.0,119954.42,20959.12973
2025-07-23 00:00:00+00:00,119954.43,120090.0,117301.0,118755.99,14558.75083
2025-07-24 00:00:00+00:00,118756.0,119450.0,117103.1,118340.99,15806.89043
2025-07-25 00:00:00+00:00,118340.98,118451.57,114723.16,117614.31,38406.34873
2025-07-26 00:00:00+00:00,117614.31,118297.35,117138.38,117919.99,6991.67206
2025-07-27 00:00:00+00:00,117919.99,119766.65,117825.5,119415.55,9328.30919
2025-07-28 00:00:00+00:00,119415.56,119800.0,117427.5,118062.32,13961.74754
2025-07-29 00:00:00+00:00,118062.32,119273.36,116950.75,117950.76,15137.93445
2025-07-30 00:00:00+00:00,117950.75,118792.0,115796.23,117840.3,15586.73631
2025-07-31 00:00:00+00:00,117840.29,118922.45,115500.0,115764.08,17010.0073
2025-08-01 00:00:00+00:00,115764.07,116052.0,112722.58,113297.93,24487.10206
2025-08-02 00:00:00+00:00,113297.92,114063.49,112003.0,112546.35,11507.33428
2025-08-03 00:00:00+00:00,112546.35,114799.97,111920.0,114208.8,7397.76046
2025-08-04 00:00:00+00:00,114208.81,115720.0,114107.6,115055.03,9667.67916
2025-08-05 00:00:00+00:00,115055.03,115127.81,112650.0,114129.75,12042.79078
2025-08-06 00:00:00+00:00,114129.75,115716.0,113355.13,114992.27,9761.15318
2025-08-07 00:00:00+00:00,114992.27,117621.0,114259.0,117472.01,13468.56263
2025-08-08 00:00:00+00:00,117472.02,117630.0,115878.71,116674.74,10045.31278
2025-08-09 00:00:00+00:00,116674.74,117944.05,116299.13,116462.25,9514.13144
2025-08-10 00:00:00+00:00,116462.25,119311.11,116460.63,119294.01,14322.77073
2025-08-11 00:00:00+00:00,119294.27,122335.16,118050.11,118686.0,26494.33429
2025-08-12 00:00:00+00:00,118686.0,120324.43,118207.47,120134.08,16720.10893
2025-08-13 00:00:00+00:00,120134.09,123667.79,118920.92,123306.43,23210.07102
2025-08-14 00:00:00+00:00,123306.44,124474.0,117180.0,118295.09,27980.947586
2025-08-15 00:00:00+00:00,118295.09,119216.82,116803.99,117342.05,13623.33874
2025-08-16 00:00:00+00:00,117342.04,117898.99,117143.98,117380.66,6393.68117
2025-08-17 00:00:00+00:00,117380.66,118575.0,117172.21,117405.01,5898.64192
2025-08-18 00:00:00+00:00,117405.01,117543.75,114640.14,116227.05,17745.93954
2025-08-19 00:00:00+00:00,116227.05,116725.69,112732.58,112872.94,18065.47424
2025-08-20 00:00:00+00:00,112872.95,114615.38,112380.0,114271.24,15636.34194
2025-08-21 00:00:00+00:00,114271.23,114821.76,112015.67,112500.0,10839.69235
2025-08-22 00:00:00+00:00,112500.0,117429.05,111684.79,116935.99,23128.09037
2025-08-23 00:00:00+00:00,116936.0,117030.0,114560.0,115438.05,11329.36197
2025-08-24 00:00:00+00:00,115438.06,115666.68,110680.0,113493.59,21175.98462
2025-08-25 00:00:00+00:00,113493.59,113667.28,109274.1,110111.98,25182.79379
2025-08-26 00:00:00+00:00,110111.98,112371.0,108666.66,111763.22,18452.43877
2025-08-27 00:00:00+00:00,111763.22,112625.0,110345.42,111262.01,13392.60875
2025-08-28 00:00:00+00:00,111262.01,113485.9,110862.42,112566.9,11104.27744
2025-08-29 00:00:00+00:00,112566.9,112638.64,107463.9,108377.4,22580.31045
2025-08-30 00:00:00+00:00,108377.4,108926.15,107350.1,108816.33,10708.39159
2025-08-31 00:00:00+00:00,108816.33,109480.02,108076.93,108246.35,9489.51596
2025-09-01 00:00:00+00:00,108246.36,109912.4,107255.0,109237.42,16053.60219
2025-09-02 00:00:00+00:00,109237.43,111771.52,108393.39,111240.01,18510.28756
2025-09-03 00:00:00+00:00,111240.01,112575.27,110528.71,111705.71,11773.72084
2025-09-04 00:00:00+00:00,111705.72,112180.0,109329.12,110730.87,12203.13536
2025-09-05 00:00:00+00:00,110730.87,113384.62,110206.96,110659.99,21587.40888
2025-09-06 00:00:00+00:00,110660.0,111307.7,109977.0,110187.97,5000.29897
2025-09-07 00:00:00+00:00,110187.98,111600.0,110180.0,111137.34,5681.29944
2025-09-08 00:00:00+00:00,111137.35,112924.37,110621.78,112065.23,11582.40211
2025-09-09 00:00:00+00:00,112065.23,113293.29,110766.66,111546.39,15379.28248
2025-09-10 00:00:00+00:00,111546.38,114313.13,110917.45,113960.0,17517.41823
2025-09-11 00:00:00+00:00,113960.0,115488.09,113430.0,115482.69,13676.73119
2025-09-12 00:00:00+00:00,115482.69,116665.63,114740.99,116029.42,15324.10719
2025-09-13 00:00:00+00:00,116029.41,116298.78,115127.27,115918.29,8269.40394
